itemId,category,name,brandName,price,averageRating,totalReviews,retrievedDate
112128450,beli-smart-tv,LG 65 Inch UHD 4K Flat Smart LED Digital TV 65UJ652T,LG,21500000,5,1,02/10/2019
11215648,beli-smart-tv,"Acer Aspire E5-475G - Intel Kabylake Core i5 7200U - 4GB DDR4 - 1TB - GT940MX 2GB DDR5 - 14"" - Grey",Acer,7075000,4,8,02/10/2019
112168188,beli-smart-tv,LG LED TV 32 inch LK500 (Khusus Daerah Medan),LG,2350000,4,3,02/10/2019
112169133,beli-smart-tv,Panasonic LED TV 43 inch F305G (Khusus Daerah Medan),Panasonic,3750000,5,3,02/10/2019
112171590,beli-smart-tv,"Polytron Cinemax pro LED TV 32"" 32T7511 (Khusus Daerah Medan)",Polytron,2500000,5,1,02/10/2019
11233332,beli-smart-tv,"Lenovo B41-35 AMD A6-7310 Quad Core - 4GB - 500GB - 14"" - Win 10 Pro - Hitam",Lenovo,3990000,4,2,02/10/2019
112422918,beli-smart-tv,"LENOVO N22 Celeron N3050 Ram 4GB EMMC 32GB 11,6 inc Windows 10 Pro",Lenovo,2677500,5,1,02/10/2019
112446646,beli-smart-tv,LG 28TL430 TV LED [28 Inch] KHUSUS JABODETABEK (untuk keluar kota wajib di packing kayu),LG,1750000,4,16,02/10/2019
112539378,beli-smart-tv,Coocaa LED TV 32” 32A2A11A – Hitam  ,Coocaa,2399000,4,2,02/10/2019
112575246,beli-smart-tv,"Sony Full HD Smart TV 40"" - KDL-40W650D - Hitam",Sony,4553000,5,2,02/10/2019
112579977,beli-smart-tv,LENOVO IdeaPad 330-8MID | Grey | Intel I5 8250U | 4GB | 1TB | ATI Radeon 530 2GB | 14 Inch | DOS,Lenovo,7763000,3,1,02/10/2019
112609680,beli-smart-tv,"Lenovo N22 11.6"" - Windows 10 Pro - Intel Celeron N3050 Dual-Core Processor - 4GB RAM - 32GB Flash Storage",Lenovo,2999000,3,2,02/10/2019
11262644,beli-smart-tv,Toshiba New Edition Smart TV LED 32Inch 32L5650VJ Hitam,Toshiba,2599000,4,27,02/10/2019
112803054,beli-smart-tv,"Toshiba 32L1600VJ LED TV 32"" - Hitam - Khusus Jabodetabek",Toshiba,3100000,5,1,02/10/2019
112805465,beli-smart-tv,"Toshiba 32L2605VJ LED TV 32"" USB Movie Free Bracket - Hitam - Khusus Jabodetabek",Toshiba,3200000,5,1,02/10/2019
112810593,beli-smart-tv,"Lenovo Ideapad 110-15ISK - Core i3-6006U - RAM 4GB DDR4 - 500GB HDD - 15,6"" HITAM",Lenovo,5518000,3,3,02/10/2019
11285198,beli-smart-tv,"Ichiko S1798 LED TV 17"" - Khusus JABODETABEK",Ichiko,809000,5,3,02/10/2019
11309328,beli-smart-tv,"Toshiba C55-C2052 - Intel Core i3-5005M - RAM 4GB - 500GB - 15,6"" - Gold",Toshiba,5300000,5,1,02/10/2019
113265588,beli-smart-tv,"TCL 40"" LED SMART TV - Hitam (Model: L40S4900) + Gratis Antenna Digital PX DA-1401 NP ",TCL,3999000,5,4,02/10/2019
114022164,beli-smart-tv,"Panasonic 32"" LED HD TV - Hitam (Model TH-32G302) + Gratis Bracket (KHUSUS JABODETABEK) untuk keluar kota wajib di packing kayu",Panasonic,1900000,3,15,02/10/2019
11502352,beli-smart-tv,"GRATIS ONGKIR - Sharp LC-32LE180I HD LED TV 32"" -  Khusus Jakarta",Sharp,2254000,5,2,02/10/2019
11549405,beli-smart-tv,Acer Aspire R3-131T - Blue,Acer,5699000,1,1,02/10/2019
11549933,beli-smart-tv,"Acer ONE 10+ S1002 - 10"" multitouch ips display - Intel Atom Quad Core - Grey",Acer,4559000,4,2,02/10/2019
11550979,beli-smart-tv,"Acer Aspire ES1 131 N3050 - 11.6"" - Intel - 2GB RAM - 500GB - Dos Black",Acer,3599000,2,1,02/10/2019
11656374,beli-smart-tv,"Asus VivoBook X441BA-GA434T - AMD A4-9125 - 4GB - 1TB - DVD RW - 14""HD - Win10 Home - Ice Blue - ESEL",Asus,3699000,5,2,02/10/2019
117282687,beli-smart-tv,Lenovo Ideapad 110-14ibr - 14 Inch - RAM 4GB - CPU N3060 - Black,Lenovo,5247700,4,1,02/10/2019
117488518,beli-smart-tv,Asus X540LA-XX988 With 8GB RAM I Core™ i3-5005U I 1TB HDD I Intel® HD Graphics 5500 I 15.6 HD SLIM GL I DVDRW I DOS,Asus,5374000,3,1,02/10/2019
117494449,beli-smart-tv,DELL INSPIRON 13.3 (5378) Core i7,Dell,16200000,5,1,02/10/2019
117495168,beli-smart-tv,Panasonic TH-32F306G LED TV [32 Inch] KHUSUS JABEDETABEK ( untuk keluar kota wajib di packing kayu ),Panasonic,2150000,3,6,02/10/2019
117862395,beli-smart-tv,Asus TUF FX505GE-I5T61T 15.6 Inch Slim Bezel Core i5 8300H 8GB RAM 1TB HDD GTX 1050TI 4GB Win 10 + Free GMX Shoes + Backpack,Asus,14199000,5,3,02/10/2019
118083411,beli-smart-tv,Asus X407UA-BV421T - I3 7020U - 4GB RAM - 1TB HDD - 1 Slot SSD M.2 - Intel HD Graphics 620 - Wind10 - 14.0 HD USLIM - No ODD - Gold,Asus,5580000,3,3,02/10/2019
118132500,beli-smart-tv,"Lenovo Thinkpad X260-WHID (GMF) Intel Core I5-6200U/2.3GHz/4GBDDR4/500GB/Windows 10 Pro x64bit/12.5"" HD/ [Black]",Lenovo,14999000,1,1,02/10/2019
118389252,beli-smart-tv,Samsung 65 Inch Premium UHD 4K Curved Smart TV 65MU8000 - Jabodetabek,Samsung,16495000,5,1,02/10/2019
118395996,beli-smart-tv,LED TV 19 inch Polysonic PS1892i Wide - Hitam,Polysonic,999000,5,1,02/10/2019
119244473,beli-smart-tv,Asus ROG STRIX GL553VE-FY117T With Intel Core i7-7700HQ Nvidia GTX1050Ti 4GB DDR5 16GB RAM DDR4 1TB HDD + 256 SSD + Windows 10 + Free Panasonic Headphone + Asus Rog Special Backpack Garansi Resmi 2 Tahun,Asus,20299000,5,1,02/10/2019
119508433,beli-smart-tv,Lenovo V145-15AST - 8GB RAM - AMD A4-9125 - 500GB - AMD Radeon R3 Graphics - DOS - 15.6 HD LED - DVDRW - Black,Lenovo,3860000,2,1,02/10/2019
120130178,beli-smart-tv,Asus X407MA-BV016T With SSD M2 240GB I N4000 I 4GB RAM I 500GB HDD I 14.0 HD USLIM I WINDOWS 10 I NO ODD I INTEL VGA,Asus,4545000,4,5,02/10/2019
120849562,beli-smart-tv,Microsoft Surface Pro 5 i5 4Gb 128GB - Silver BNIB New 2017,Microsoft,18999000,5,1,02/10/2019
120850831,beli-smart-tv,Microsoft Surface Pro 5 i5 8Gb 256GB - Silver BNIB New 2017,Microsoft,23000000,4,1,02/10/2019
121218859,beli-smart-tv,"Razer Blade Stealth - i7 8550U - 16GB - 512GB - Win 10 - 12.5"" Touch QHD Chroma",Razer,20390000,5,2,02/10/2019
121235663,beli-smart-tv,"Laptop pelajar!! Lenovo IP 110 14IBR Celeron N3060 1,6GHZ Ram 4GB Hardisk 500GB Harga Murah",Lenovo,3999000,4,1,02/10/2019
121265381,beli-smart-tv,"Laptop Murah !! Lenovo Core I3 6100 Ram 4GB Hardisk 1 TB LCD 15,6"" Windows 10",Lenovo,5299000,3,2,02/10/2019
121339042,beli-smart-tv,Laptop Gaming !! Lenovo 310 14IKB Core I5 Kabylake Vga 2 GB Windows 10 Ori,Lenovo,7350000,5,1,02/10/2019
121478672,beli-smart-tv,"Lenovo V130-15IKB I Core™ i3-6006U I 4GB DDR4 I 500GB HDD  + 1SLOT SSD M2 I Intel HD Graphics 520 I 15,6 HD LED I DVDRW I DOS",Lenovo,4860000,4,7,02/10/2019
121497565,beli-smart-tv,Laptop Lenovo Ideapad 310-14IKB Layar FHD 14 Inch Core i5 Kabylake Ram 4Gb HDD 1TB Nvidia 2GB WIndows 10 PROMO,Lenovo,8999000,5,1,02/10/2019
121786772,beli-smart-tv,PROMO Acer Aspire E5-475-36JG GR RAM 4GB PROCESSOR I3-6006 RAM 4GB DDR4 BONUS TAS LAPTOP + FREE ASURANSI,Acer,5294200,4,1,02/10/2019
122098705,beli-smart-tv,"TOSHIBA C55 Core i3 4005 Ram 4GB Hardisk 500GB  LCD 15.6 "" No OS ",Toshiba,5599000,5,1,02/10/2019
122245115,beli-smart-tv,Toshiba 32L5650 Smart LED TV [32 Inch/USB Movie/Opera/L56 Series]+ Bonus Bracket dinding (KHUSUS JABODETABEK) untuk keluar kota wajib paking kayu,Toshiba,2575000,5,9,02/10/2019
122563623,beli-smart-tv,"TOSHIBA LED TV 32L5650 32"" Smart TV WIFI (FREE BRACKET) Black - Khusus JABODETABEK",Toshiba,2490000,4,19,02/10/2019
